Date,Open,High,Low,Close,Volume
09/29/2023,17.05,17.26,16.4,16.46,"33,97,024"
09/28/2023,18.02,18.1,16.44,16.84,"74,31,938"
09/27/2023,16.87,17.26,16.81,17.15,"16,81,325"
09/26/2023,17.38,17.82,16.78,16.78,"27,26,813"
09/25/2023,17,17.72,16.85,17.67,"21,81,230"
09/22/2023,17.18,17.35,17,17.18,"21,02,886"
09/21/2023,17.28,17.32,16.65,17.02,"29,13,533"
09/20/2023,17.63,17.93,17.45,17.52,"21,34,121"
09/19/2023,17.59,17.64,17.13,17.52,"25,84,791"
09/18/2023,17.99,18.1,17.35,17.55,"36,94,591"
09/15/2023,18.36,18.61,18.15,18.22,"61,66,608"
09/14/2023,17.8,18.52,17.6,18.33,"30,77,962"
09/13/2023,17.31,17.93,17.27,17.81,"30,12,556"
09-12-2023,17.53,18.5,17.19,17.23,"51,79,405"
09-11-2023,17.85,17.85,16.9,17.02,"35,43,797"
09-08-2023,18.15,18.5,17.35,17.71,"46,94,034"
09-07-2023,19.13,19.48,17.61,18.89,"50,21,288"
09-06-2023,19.06,19.15,18.42,18.75,"61,07,245"
09-05-2023,18.45,19.34,18.26,19.23,"37,81,292"
09-01-2023,18.66,18.73,18.32,18.42,"21,35,901"
08/31/2023,18.41,19.42,18.15,18.55,"46,74,143"
08/30/2023,18.2,18.53,17.91,18.37,"18,84,501"
08/29/2023,17.6,18.55,17.6,18.24,"27,09,238"
08/28/2023,17.35,18.11,17.25,17.57,"30,07,418"
08/25/2023,16.5,17.18,16.45,17.13,"34,23,462"
08/24/2023,16.94,16.98,16.18,16.36,"36,24,485"
08/23/2023,17.25,17.34,16.88,16.89,"29,09,054"
08/22/2023,18.62,18.62,17.25,17.26,"37,91,911"
08/21/2023,18.3,18.82,18.2,18.48,"28,64,735"
08/18/2023,18.18,18.66,18.14,18.36,"20,29,098"
08/17/2023,18.79,18.81,18.3,18.38,"20,56,830"
08/16/2023,19.18,19.34,18.55,18.59,"30,15,627"
08/15/2023,19.77,19.78,19.09,19.33,"22,90,326"
08/14/2023,19.75,20.01,19.08,19.96,"33,29,291"
08-11-2023,20.03,20.38,19.97,20.19,"15,22,912"
08-10-2023,20,20.29,19.87,20.19,"14,32,446"
08-09-2023,20.85,20.85,19.82,19.93,"29,29,553"
08-08-2023,20.7,20.9,20.28,20.74,"14,31,250"
08-07-2023,20.9,21.24,20.48,21.07,"14,41,290"
08-04-2023,20.95,21.89,20.89,20.98,"24,06,033"
08-03-2023,20.88,21.18,20.74,20.93,"13,24,938"
08-02-2023,21.15,21.15,20.34,20.83,"26,30,714"
08-01-2023,21.95,22,21.26,21.5,"25,74,804"
07/31/2023,22,22.38,21.85,22.2,"19,75,391"
07/28/2023,22.02,22.49,21.79,21.93,"26,47,747"
07/27/2023,22.94,23.49,22.13,22.22,"33,70,913"
07/26/2023,22.7,22.99,22.48,22.7,"14,89,152"
07/25/2023,23.1,23.1,22.53,22.85,"16,71,991"
07/24/2023,22.42,23.04,22.2,23.04,"29,70,433"
07/21/2023,23.05,23.22,22.16,22.18,"31,67,916"
07/20/2023,23.01,23.22,22.66,22.91,"22,56,659"
07/19/2023,23.42,23.58,22.96,23.17,"22,50,133"
07/18/2023,22.72,23.8,22.68,23.08,"23,45,137"
07/17/2023,22.88,23.31,22.7,22.82,"20,33,970"
07/14/2023,23.49,23.72,22.94,22.97,"21,78,827"
07/13/2023,23.54,23.98,23.42,23.46,"19,12,157"
07-12-2023,24.25,24.31,23.44,23.44,"17,42,244"
07-11-2023,23.2,24.44,23.2,23.91,"30,63,534"
07-10-2023,22.61,23.56,22,23.54,"33,18,214"
07-07-2023,22.97,23.53,22.67,22.71,"24,47,203"
07-06-2023,23.52,23.57,22.82,22.83,"23,90,303"
07-05-2023,24.64,24.85,23.79,23.9,"22,68,244"
07-03-2023,24.29,25.11,24.21,24.91,"18,06,580"
06/30/2023,24.97,25.13,24.25,24.25,"28,03,299"
06/29/2023,24.96,25.47,24.62,24.9,"31,01,049"
06/28/2023,23.44,25.1,23.4,24.98,"34,93,873"
06/27/2023,23.29,23.6,23,23.58,"21,41,510"
06/26/2023,23.38,24.03,22.91,23.02,"25,25,247"
06/23/2023,23.78,24.15,23.68,23.7,"22,61,038"
06/22/2023,24.13,24.33,23.76,24.32,"18,95,012"
06/21/2023,24.84,25.1,24.1,24.43,"24,04,694"
06/20/2023,24.41,24.65,23.72,24.58,"32,54,039"
06/16/2023,25.02,25.11,24.42,24.56,"44,43,512"
06/15/2023,25.41,26.17,24.64,24.84,"55,01,822"
06/14/2023,26.72,27.08,24.9,25.7,"72,43,697"
06/13/2023,26.2,27.65,25.03,26.95,"1,71,60,609"
06-12-2023,22.85,24.3,22.74,24.3,"71,42,290"
06-09-2023,21.78,23.43,21.5,22.68,"1,03,42,630"
06-08-2023,20.3,22,20.1,21.44,"1,92,13,301"
06-07-2023,26.2,26.55,25.07,26.11,"1,80,01,070"
06-06-2023,24.01,25.25,24,24.69,"39,84,262"
06-05-2023,24.53,25.84,24.16,24.31,"49,75,127"
06-02-2023,24.29,24.93,24.28,24.64,"33,00,736"
06-01-2023,24.04,24.66,23.78,24.1,"38,44,957"
